	SRR403882_first	SRR403883_first	SRR403886_first	SRR403887_first	SRR403888_first	SRR403889_first	SRR403892_first	SRR403893_first
ENSG00000171729.13	168	14	100	25	124	43	153	57
ENSG00000204464.7	0	0	0	0	0	0	0	0
ENSG00000215720.4	0	0	0	0	0	0	1	1
ENSG00000278480.1	1	0	1	0	0	0	0	0
ENSG00000142621.19	11	3	11	3	3	2	2	4
ENSG00000233485.1	4	0	2	0	0	0	0	0
ENSG00000236045.1	0	0	0	0	0	0	0	0
ENSG00000228140.1	2	0	8	0	3	0	6	0
ENSG00000142634.12	1666	129	1198	216	1082	345	945	255
ENSG00000162438.11	2	0	3	0	0	0	0	0
ENSG00000142615.7	0	0	0	0	0	0	0	0
ENSG00000215704.9	0	0	0	0	0	0	0	0
ENSG00000132906.17	96	13	100	32	88	33	107	76
ENSG00000116138.12	318	62	341	76	308	221	337	204
